"product_description" "price" "reviews" "rating" "brand" "status"
"Renewed - HP EliteDesk 800 G1 Desktop PC - Intel 4th Generation Core i5 - 8GB DDR3 RAM - 500GB HDD - WiFi - Windows 10" 23500 1 4.9 "TOSHIBA" "RENEWED"
"Renewed - iMac Desktop All In One Computer - 20.5  - Intel Core 2 Duo - 4 GB RAM - 250 Hard Drive - SuperDrive - WiFi - Webcam - Bluetooth - Keyboard - Mouse - Windows - Silver" 19000 1 4.7 "APPLE" "RENEWED"
"Renewed - APPLE IMAC 2009 ALL IN ONE CAMERA,SPEAKER,WIFI," 17954 35 4.4 "APPLE" "RENEWED"
"Renewed - APPLE IMAC 2009 ALL IN ONE CAMERA,SPEAKER,WIFI," 17954 35 4.5 "APPLE" "RENEWED"
"Renewed - APPLE IMAC 2009 ALL IN ONE CAMERA,SPEAKER,WIFI," 17954 35 4.4 "APPLE" "RENEWED"
"Renewed - APPLE IMAC 2009 ALL IN ONE CAMERA,SPEAKER,WIFI," 17954 35 4.7 "APPLE" "RENEWED"
"Renewed - IMAC LATE 2009 SILVER BODY 21,5 INCH SCREEN CAMERA WIFI SPEAKER BLUETOOTH" 25174 6 4.3 "APPLE" "RENEWED"
"IMAC 2009 8GB 320GB SPEAKER,WIFI,CAMERA,MICROPHONE,CD ROM ALL IN ONE PC AIO" 24500 18 4.6 "APPLE" "NEW"
"APPLE IMAC 20 INCH WIFI SPEAKER CAMERA MICROPHONE BUETOOTH" 14819 2 4.5 "APPLE" "NEW"
"IMAC LATE 2012 8GB\1TB SLIM BODY CATALINA SUPPORTED SPEAKER,WIFI,CAMERA,BLUETOOTH,MICROPHONE ALL IN ONE" 85000 13 4.2 "APPLE" "NEW"
"Renewed - HP Mini Atom Laptop" 11000 3 4.9 "HP" "RENEWED"
"HP Mini 1101 Laptop" 8999 5 4.6 "HP" "NEW"
"Renewed - ACER ASPIRE ONE MINI LAPTOP D250" 8799 1 4.9 "ACER" "RENEWED"
"ACER ASPIRE D257-1497 (2GB RAM 250GB HDD) MINI LAPTOP" 11000 1 4.9 "ACER" "NEW"
"Renewed - Asus Eee pc 1001PXD MINI LAPTOP" 8899 1 4.4 "ASUS" "RENEWED"
"Fujitsu t732 Laptop/Tablet" 25999 2 4.9 "FUJITSU" "NEW"
"i3 IMAC 4GB\500GB 21.5 INCH SPEAKER,WIFI,CAMERA,BLUETOOTH,MICROPHONE ALL IN ONE PC" 32300 2 4.3 "APPLE" "NEW"
"Compac 610 | 3gb | 250gb" 14500 1 4.8 "COMPAC" "NEW"
"Renewed - Asus Eee pc 1001PXD MINI LAPTOP" 9000 1 4.2 "ASUS" "RENEWED"
"Lenovo thinkpad SL410" 14500 10 4.8 "LENOVO" "NEW"
"Renewed - iMac Computer - (All-In-One) - Windows - Silver" 23000 1 4.8 "APPLE" "RENEWED"
"Renewed - Dell 2414Hb 24” Business Class Monitor" 18000 14 4.2 "DELL" "RENEWED"
"Hp slim 4gb 250gb" 15000 1 4.3 "HP" "NEW"
"TOSHIBA SATELLITE C50T | 15.6\" TOUCHSCREEN | CORE i3 3rd Gen | 4GB RAM | 320GB" 26999 1 4.3 "TOSHIBA" "NEW"
"Dell Latitude E6400 Core 2 Duo  2.67GHz, 4GB RAM,160GB Hard Drive, DVDRW, 14.1 Display, Windows 10 Professional" 35000 9 4.7 "DELL" "NEW"
"Renewed - Dell P2418HT Touch Monitor - 23.8 Inches - FHD 1080p - Black" 29000 2 4.9 "DELL" "RENEWED"
"ASUS TRANSFORMER FLIP BOOK 2 in 1 Laptop/ TABLET 11.6\" TOUCHSCREEN 4GB RAM DDR3 64GB SSD" 17499 1 4.8 "ASUS" "NEW"
"Lenovo 300e TouchScreen Laptop/Tablet" 24000 1 4.6 "LENOVO" "NEW"
"Renewed - HP EliteDesk 800 G1 Desktop PC - Intel 4th Generation Core i5 - 8GB DDR3 RAM - 500GB HDD - WiFi - Windows 10" 23500 1 4.3 "TOSHIBA" "RENEWED"
"Renewed - iMac Desktop All In One Computer - 20.5  - Intel Core 2 Duo - 4 GB RAM - 250 Hard Drive - SuperDrive - WiFi - Webcam - Bluetooth - Keyboard - Mouse - Windows - Silver" 19000 1 4.7 "APPLE" "RENEWED"
"Renewed - IMAC LATE 2009 SILVER BODY 21,5 INCH SCREEN CAMERA WIFI SPEAKER BLUETOOTH" 25174 6 4.8 "APPLE" "RENEWED"
"IMAC 2009 8GB 320GB SPEAKER,WIFI,CAMERA,MICROPHONE,CD ROM ALL IN ONE PC AIO" 24500 18 4.8 "APPLE" "NEW"
"APPLE IMAC 20 INCH WIFI SPEAKER CAMERA MICROPHONE BUETOOTH" 14819 2 4.7 "APPLE" "NEW"
"IMAC LATE 2012 8GB\1TB SLIM BODY CATALINA SUPPORTED SPEAKER,WIFI,CAMERA,BLUETOOTH,MICROPHONE ALL IN ONE" 85000 13 4.6 "APPLE" "NEW"
"Renewed - HP Mini Atom Laptop" 11000 3 4.5 "HP" "RENEWED"
"HP Mini 1101 Laptop" 8999 5 4.8 "HP" "NEW"
"Renewed - ACER ASPIRE ONE MINI LAPTOP D250" 8799 1 4.4 "ACER" "RENEWED"
"ACER ASPIRE D257-1497 (2GB RAM 250GB HDD) MINI LAPTOP" 11000 1 4.7 "ACER" "NEW"
"Renewed - Asus Eee pc 1001PXD MINI LAPTOP" 8899 1 4.3 "ASUS" "RENEWED"
"Fujitsu t732 Laptop/Tablet" 25999 2 4.3 "FUJITSU" "NEW"
"i3 IMAC 4GB\500GB 21.5 INCH SPEAKER,WIFI,CAMERA,BLUETOOTH,MICROPHONE ALL IN ONE PC" 32300 2 4.7 "APPLE" "NEW"
"Compac 610 | 3gb | 250gb" 14500 1 4.7 "COMPAC" "NEW"
"Renewed - Asus Eee pc 1001PXD MINI LAPTOP" 9000 1 4.6 "ASUS" "RENEWED"
"Lenovo thinkpad SL410" 14500 10 4.6 "LENOVO" "NEW"
"Renewed - iMac Computer - (All-In-One) - Windows - Silver" 23000 1 4.4 "APPLE" "RENEWED"
"Renewed - Dell 2414Hb 24” Business Class Monitor" 18000 14 4.7 "DELL" "RENEWED"
"Hp slim 4gb 250gb" 15000 1 4.7 "HP" "NEW"
"TOSHIBA SATELLITE C50T | 15.6\" TOUCHSCREEN | CORE i3 3rd Gen | 4GB RAM | 320GB" 26999 1 4.3 "TOSHIBA" "NEW"
"Dell Latitude E6400 Core 2 Duo  2.67GHz, 4GB RAM,160GB Hard Drive, DVDRW, 14.1 Display, Windows 10 Professional" 35000 9 4.7 "DELL" "NEW"
"Renewed - Dell P2418HT Touch Monitor - 23.8 Inches - FHD 1080p - Black" 29000 2 4.5 "DELL" "RENEWED"
"ASUS TRANSFORMER FLIP BOOK 2 in 1 Laptop/ TABLET 11.6\" TOUCHSCREEN 4GB RAM DDR3 64GB SSD" 17499 1 4.6 "ASUS" "NEW"
"Lenovo 300e TouchScreen Laptop/Tablet" 24000 1 4.9 "LENOVO" "NEW"
"Renewed - HP EliteDesk 800 G1 Desktop PC - Intel 4th Generation Core i5 - 8GB DDR3 RAM - 500GB HDD - WiFi - Windows 10" 23500 1 4.4 "TOSHIBA" "RENEWED"
"Renewed - iMac Desktop All In One Computer - 20.5  - Intel Core 2 Duo - 4 GB RAM - 250 Hard Drive - SuperDrive - WiFi - Webcam - Bluetooth - Keyboard - Mouse - Windows - Silver" 19000 1 4.5 "APPLE" "RENEWED"
"Renewed - IMAC LATE 2009 SILVER BODY 21,5 INCH SCREEN CAMERA WIFI SPEAKER BLUETOOTH" 25174 6 5 "APPLE" "RENEWED"
"IMAC 2009 8GB 320GB SPEAKER,WIFI,CAMERA,MICROPHONE,CD ROM ALL IN ONE PC AIO" 24500 18 4.8 "APPLE" "NEW"
"APPLE IMAC 20 INCH WIFI SPEAKER CAMERA MICROPHONE BUETOOTH" 14819 2 4.6 "APPLE" "NEW"
"IMAC LATE 2012 8GB\1TB SLIM BODY CATALINA SUPPORTED SPEAKER,WIFI,CAMERA,BLUETOOTH,MICROPHONE ALL IN ONE" 85000 13 4.4 "APPLE" "NEW"
"Renewed - HP Mini Atom Laptop" 11000 3 4.7 "HP" "RENEWED"
"HP Mini 1101 Laptop" 8999 5 4.5 "HP" "NEW"
"Renewed - ACER ASPIRE ONE MINI LAPTOP D250" 8799 1 4.2 "ACER" "RENEWED"
"ACER ASPIRE D257-1497 (2GB RAM 250GB HDD) MINI LAPTOP" 11000 1 4.6 "ACER" "NEW"
"Renewed - Asus Eee pc 1001PXD MINI LAPTOP" 8899 1 4.5 "ASUS" "RENEWED"
"Fujitsu t732 Laptop/Tablet" 25999 2 4.8 "FUJITSU" "NEW"
"i3 IMAC 4GB\500GB 21.5 INCH SPEAKER,WIFI,CAMERA,BLUETOOTH,MICROPHONE ALL IN ONE PC" 32300 2 4.5 "APPLE" "NEW"
"Compac 610 | 3gb | 250gb" 14500 1 4.8 "COMPAC" "NEW"
"Renewed - Asus Eee pc 1001PXD MINI LAPTOP" 9000 1 4.4 "ASUS" "RENEWED"
"Lenovo thinkpad SL410" 14500 10 4.5 "LENOVO" "NEW"
"Renewed - iMac Computer - (All-In-One) - Windows - Silver" 23000 1 4.3 "APPLE" "RENEWED"
"Renewed - Dell 2414Hb 24” Business Class Monitor" 18000 14 4.8 "DELL" "RENEWED"
"Hp slim 4gb 250gb" 15000 1 4.9 "HP" "NEW"
"TOSHIBA SATELLITE C50T | 15.6\" TOUCHSCREEN | CORE i3 3rd Gen | 4GB RAM | 320GB" 26999 1 4.8 "TOSHIBA" "NEW"
"Dell Latitude E6400 Core 2 Duo  2.67GHz, 4GB RAM,160GB Hard Drive, DVDRW, 14.1 Display, Windows 10 Professional" 35000 9 4.6 "DELL" "NEW"
"Renewed - Dell P2418HT Touch Monitor - 23.8 Inches - FHD 1080p - Black" 29000 2 4.6 "DELL" "RENEWED"
"ASUS TRANSFORMER FLIP BOOK 2 in 1 Laptop/ TABLET 11.6\" TOUCHSCREEN 4GB RAM DDR3 64GB SSD" 17499 1 4.2 "ASUS" "NEW"
"Lenovo 300e TouchScreen Laptop/Tablet" 24000 1 4.4 "LENOVO" "NEW"
"Renewed - IMAC LATE 2009 SILVER BODY 21,5 INCH SCREEN CAMERA WIFI SPEAKER BLUETOOTH" 25174 6 4.6 "APPLE" "RENEWED"
"IMAC 2009 8GB 320GB SPEAKER,WIFI,CAMERA,MICROPHONE,CD ROM ALL IN ONE PC AIO" 24500 18 4.6 "APPLE" "NEW"
"APPLE IMAC 20 INCH WIFI SPEAKER CAMERA MICROPHONE BUETOOTH" 14819 2 4.7 "APPLE" "NEW"
"IMAC LATE 2012 8GB\1TB SLIM BODY CATALINA SUPPORTED SPEAKER,WIFI,CAMERA,BLUETOOTH,MICROPHONE ALL IN ONE" 85000 13 4.5 "APPLE" "NEW"
"Renewed - HP Mini Atom Laptop" 11000 3 4.3 "HP" "RENEWED"
"HP Mini 1101 Laptop" 8999 5 4.7 "HP" "NEW"
"Renewed - ACER ASPIRE ONE MINI LAPTOP D250" 8799 1 4.9 "ACER" "RENEWED"
"ACER ASPIRE D257-1497 (2GB RAM 250GB HDD) MINI LAPTOP" 11000 1 4.5 "ACER" "NEW"
"Renewed - Asus Eee pc 1001PXD MINI LAPTOP" 8899 1 4.4 "ASUS" "RENEWED"
"Fujitsu t732 Laptop/Tablet" 25999 2 5 "FUJITSU" "NEW"
"i3 IMAC 4GB\500GB 21.5 INCH SPEAKER,WIFI,CAMERA,BLUETOOTH,MICROPHONE ALL IN ONE PC" 32300 2 4.7 "APPLE" "NEW"
"Compac 610 | 3gb | 250gb" 14500 1 4.6 "COMPAC" "NEW"
"Renewed - Asus Eee pc 1001PXD MINI LAPTOP" 9000 1 4.7 "ASUS" "RENEWED"
"Lenovo thinkpad SL410" 14500 10 4.9 "LENOVO" "NEW"
"Renewed - iMac Computer - (All-In-One) - Windows - Silver" 23000 1 4.5 "APPLE" "RENEWED"
"Renewed - Dell 2414Hb 24” Business Class Monitor" 18000 14 4.3 "DELL" "RENEWED"
"Hp slim 4gb 250gb" 15000 1 4.6 "HP" "NEW"
"TOSHIBA SATELLITE C50T | 15.6\" TOUCHSCREEN | CORE i3 3rd Gen | 4GB RAM | 320GB" 26999 1 4.9 "TOSHIBA" "NEW"
"Dell Latitude E6400 Core 2 Duo  2.67GHz, 4GB RAM,160GB Hard Drive, DVDRW, 14.1 Display, Windows 10 Professional" 35000 9 4.5 "DELL" "NEW"
"Renewed - Dell P2418HT Touch Monitor - 23.8 Inches - FHD 1080p - Black" 29000 2 4.7 "DELL" "RENEWED"
"ASUS TRANSFORMER FLIP BOOK 2 in 1 Laptop/ TABLET 11.6\" TOUCHSCREEN 4GB RAM DDR3 64GB SSD" 17499 1 4.2 "ASUS" "NEW"
"Lenovo 300e TouchScreen Laptop/Tablet" 24000 1 4.5 "LENOVO" "NEW"
"Renewed - HP EliteDesk 800 G1 Desktop PC - Intel 4th Generation Core i5 - 8GB DDR3 RAM - 500GB HDD - WiFi - Windows 10" 23500 1 4.4 "TOSHIBA" "RENEWED"
"Renewed - iMac Desktop All In One Computer - 20.5  - Intel Core 2 Duo - 4 GB RAM - 250 Hard Drive - SuperDrive - WiFi - Webcam - Bluetooth - Keyboard - Mouse - Windows - Silver" 19000 1 4.2 "APPLE" "RENEWED"
"Renewed - HP EliteDesk 800 G1 Desktop PC - Intel 4th Generation Core i5 - 8GB DDR3 RAM - 500GB HDD - WiFi - Windows 10" 23500 1 4.9 "TOSHIBA" "RENEWED"
"Renewed - iMac Desktop All In One Computer - 20.5  - Intel Core 2 Duo - 4 GB RAM - 250 Hard Drive - SuperDrive - WiFi - Webcam - Bluetooth - Keyboard - Mouse - Windows - Silver" 19000 1 4.4 "APPLE" "RENEWED"
